COUNTY_ID,DIST_ID,COUNTY_NAME,DISTRICT_NAME,2010_11_TOTAL,2011_12_TOTAL,2012_13_TOTAL,2013_14_TOTAL,2014_15_TOTAL,2015_16_TOTAL,DIFFERENCE
7,1802,CAMDEN,"Mastery Schools of Camden, Inc.",,,,,368,1406,1038
17,2295,HUDSON,HUDSON COUNTY VOCATIONAL,1208.5,1274.5,2327.5,2132,1866,2357,1148.5
17,5240,HUDSON,UNION CITY,10600,10800,11107,11457,11800,11815,1215
39,4160,UNION,PLAINFIELD CITY,6414.5,6387.5,6729.5,7145,7559.5,7734.5,1320
23,3530,MIDDLESEX,NEW BRUNSWICK CITY,7422,7653.5,7893,8158,8614.5,8975,1553
80,7325,CHARTERS,TEAM Academy Charter School,1277,1504.5,1786,2231,2729,3247,1970
13,3570,ESSEX,NEWARK CITY,33279,35543,36427,34980.5,32098,35329.5,2050.5
21,5210,MERCER,TRENTON CITY,8730,11587,12127.5,10969.5,11183,11035,2305
21,5210,MERCER,TRENTON PUBLIC SCHOOL DISTRICT,8730,11587,12127.5,10969.5,11183,11035,2305
80,7320,CHARTERS,North Star Academy Charter School,1262,1687,2222,2685,3403,3989,2727
39,1320,UNION,ELIZABETH CITY,22743,23386,23988,24875,25608,25929,3186
